Hotel Name,Hotel Rating,Review Rating,WiFi in lobby,Free WiFi,Pool,Spa,Parking,Pets,A/C,Restaurant,Hotel bar,Price,
Holiday Inn Express Hyderabad Hitec City,3,7.1,Yes,Yes,No,No,No,No,Yes,Yes,No,4479,
Novotel Hyderabad Convention Centre,5,8.1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,7280,
The Park Hyderabad,NaN,7.3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,6773,
Courtyard by Marriott Hyderabad,4,8.9,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,7787,
"Red Fox Hotel, Hitech City, Hyderabad",3,7.5,Yes,Yes,No,No,Yes,No,Yes,Yes,No,4200,
Hyderabad Marriott Hotel & Convention Centre,5,8.2,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,7197,
"Vivanta Hyderabad, Begumpet",5,8.6,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,6720,
Taj Deccan,5,8.7,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,8389,
Holiday Inn Express Hyderabad Hitec City,3,7.1,Yes,Yes,No,No,No,No,Yes,Yes,No,4479,
Park Hyatt Hyderabad,5,8.6,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,10800,
Le Meridien Hyderabad,5,8.8,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,7840,
Taj Krishna,5,8.8,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,10620,
Lemon Tree Premier Hitec City Hyderabad,4,7.8,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,5410,
Best Western Ashoka,NaN,7.7,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,4234,
Hotel Lemon Tree Gachibowli Hyderabad,NaN,7,Yes,Yes,No,No,Yes,No,Yes,Yes,No,4360,
Radisson Blu Plaza Hotel Hyderabad Banjara Hills,5,7.7,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,9293,
Tabla Pride Banjara Hills,NaN,7.8,Yes,Yes,No,No,Yes,No,Yes,Yes,No,4847,
Hyatt Place Hyderabad Banjara Hills,5,8.2,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,8399,
Hampshire Plaza,4,7.6,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,5040,
Hotel Srinivasa Residency- Lakdikapool,NaN,8.3,No,No,No,Yes,Yes,Yes,Yes,Yes,No,4032,
The Westin Hyderabad Mindspace,5,9,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,10797,
Hotel Annapoorna Residency,3,7.7,Yes,Yes,No,No,Yes,No,Yes,Yes,No,3696,
"Mercure Hyderabad Kcp Banjara Hills, An Accor Hotel",4,8.6,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,7000,
Hotel Daspalla,4,7.2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,6944,
Ibis Hyderabad Hitech City,3,7.8,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,4816,
Aditya Park-A Sarovar Portico Hotel,4,7.7,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,5292,
New Hotel Suhail,3,7.8,Yes,Yes,No,No,Yes,No,Yes,No,No,3527,
The Purple Leaf,3,7.9,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,3640,
Holiday Inn Express Banjara Hills Hyderabad,3,7.4,Yes,Yes,No,No,No,No,Yes,Yes,No,3807,
Marigold Hotel,5,8.2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,5229,
"ITC Kakatiya, a Luxury Collection Hotel, Hyderabad",5,8.4,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,9770,
Trident Hyderabad,5,9.4,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,10620,
"Collection O Hotel Regal Near Iskon Temple , Abids",3,8.4,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,1053,
Hotel Imperial Classic,3,6.2,Yes,Yes,No,No,Yes,No,Yes,No,No,1904,
Hyatt Hyderabad Gachibowli,5,8.6,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,11800,
Deccan Comforts,NaN,6.6,Yes,Yes,No,No,No,No,Yes,No,No,1037,
The Golkonda Hotel,4,7.7,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,5935,
The Manohar Hyderabad,5,5.4,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,3494,
FabHotel Royal Residency II Lakdikapul,3,9.2,Yes,Yes,No,No,Yes,No,Yes,No,No,2023,
Marigold By Greenpark,NaN,8.4,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,7840,
Treebo Trend Aamantran,3,9.7,Yes,Yes,No,No,No,No,Yes,Yes,No,2703,
Katriya Hotel And Towers,3,5.4,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,4545,
Hotel Taj Mahal,2,8.1,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,2499,
Hotel Haridwar,1,7.1,Yes,No,No,No,Yes,No,No,Yes,No,796,
Fairfield By Marriott Hyderabad Gachibowli,NaN,8,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,5880,
Sheraton Hyderabad Hotel,5,8.8,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,10620,
Avasa Hotel,5,8.6,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,7560,
OYO 9796 Hotel Alekhya Residency,3,8.4,Yes,Yes,No,No,Yes,No,Yes,No,No,1270,
Hotel Jaya International,3,6,Yes,Yes,No,No,No,No,Yes,Yes,No,2800,
Watan Residency,1,7.3,Yes,No,No,No,No,No,No,No,No,1044,
Hotel Haridwar Residency,3,7.8,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,1321,
Taj Tristar,3,8.3,Yes,Yes,No,No,Yes,No,Yes,Yes,No,4595,
Hotel My Choice,NaN,8.7,No,No,No,No,No,No,Yes,No,No,993,
Hotel Aditya Hometel,3,7.7,Yes,Yes,No,No,Yes,No,Yes,Yes,No,3326,
Oyo 11429 Hotel Tokyo Japan Comforts,NaN,8.9,Yes,Yes,No,No,Yes,No,Yes,No,No,838,
TreeboTrend Fort Club,3,9.4,Yes,Yes,No,No,No,No,Yes,Yes,No,3093,
Ellaa Residences,NaN,6.8,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,7600,
Hotel Royalton,4,8,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,3584,
OYO 35467 Shiridi Residency,NaN,9.3,Yes,Yes,No,No,Yes,No,Yes,No,No,1647,
OYO 40852 Hotel White Ridge,NaN,8.9,Yes,Yes,No,No,No,No,No,No,No,1283,
Hotel Minerva Grand,3,7.7,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,5260,
"Radisson Hyderabad Hitec City, India",NaN,7.7,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,6810,
Hotel The Central Court,3,7,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,5271,
FabHotel Tourist Plaza Kachiguda Railway Station,3,8.5,Yes,Yes,No,No,No,No,Yes,No,No,1974,
Hotel Geetanjali,2,6.2,Yes,Yes,No,No,Yes,No,Yes,No,No,1335,
Oyo Townhouse 196 Gudimalkapur,NaN,9,Yes,Yes,No,No,Yes,No,No,Yes,No,1718,
Hotel Bhavani Lodge,2,7,Yes,Yes,No,No,Yes,No,Yes,No,No,820,
Hotel Chronic International - Birla Mandir,NaN,8,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,3403,
Asian Inn,2,7.3,Yes,Yes,No,No,Yes,No,Yes,Yes,No,1401,
Treebo Trend Address Inn,3,7.8,Yes,Yes,No,No,No,No,Yes,No,No,2592,#REF!
Megacity,2,6.8,Yes,No,No,No,Yes,Yes,No,Yes,Yes,1245,
FabHotel Limestone Aura Somajiguda,3,9.9,Yes,Yes,No,No,No,No,Yes,No,No,2084,
Oakwood Residence Kapil Hyderabad,5,8.7,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,6300,
OYO 10225 Hotel Sree Chandana,3,6.9,Yes,Yes,No,No,Yes,No,Yes,Yes,No,1424,
Dm Residency,NaN,6,No,No,Yes,No,Yes,No,No,No,No,1521,
Treebo Trend Grand Plaza,3,8.9,Yes,Yes,No,No,Yes,No,Yes,Yes,No,1936,
Our Nest,NaN,8.1,No,No,No,No,Yes,No,Yes,No,No,1522,
Capital O 1780 Hotel Belsons Taj Mahal,NaN,8.4,Yes,Yes,No,No,Yes,No,Yes,Yes,No,1734,
Stay Inn,1,8,Yes,Yes,No,No,Yes,No,Yes,Yes,No,3806,
Hotel Ranjit Residency,NaN,7.6,Yes,Yes,No,No,Yes,No,Yes,No,No,1129,
Hotel Tara International,2,6.1,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,1935,
Oyo 49253 Raja Residency,NaN,8.8,Yes,Yes,No,Yes,Yes,No,Yes,No,No,1151,
OYO 11079 Hotel Prestige,3,8.5,Yes,Yes,No,No,Yes,No,Yes,No,No,1682,
Hotel Maya Deluxe,1,7.8,Yes,Yes,No,No,Yes,No,Yes,Yes,No,969,
OYO 28637 Gokul Grand,NaN,8.4,Yes,Yes,No,No,Yes,No,No,No,No,2113,
Capital O 9960 Kubeera Palace,3,8.6,Yes,Yes,No,No,Yes,No,Yes,No,No,2558,
Celestee Grand,2,7.1,Yes,Yes,No,No,Yes,No,Yes,No,No,2030,
Treebo Trend Hotel JP Plaza,3,9.2,Yes,Yes,No,No,Yes,No,Yes,No,No,2466,
Collection O The Serene Woods Malkajgiri,NaN,7.2,No,No,No,No,No,Yes,Yes,No,No,1254,
Hotel Baseraa Inn By Ohris,3,7.6,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,1815,
Bikanervala Boutique,3,8.4,Yes,Yes,No,No,Yes,No,No,Yes,Yes,4842,
Rainbow International,3,6.1,Yes,Yes,No,No,Yes,Yes,Yes,No,No,2087,
Fabhotel Prime Anika Suites,NaN,7.9,No,No,No,No,Yes,No,Yes,No,No,4287,
Anmol Continental,3,8,Yes,Yes,No,No,Yes,No,Yes,Yes,No,1854,
OYO 30955 Alpine Glow Pinnacle,NaN,8.1,Yes,Yes,No,No,Yes,No,Yes,No,No,1176,
Hotel Kanha Grand,1,7.5,Yes,Yes,No,No,Yes,Yes,Yes,No,No,1582,
21 Avenue,NaN,7.9,Yes,No,Yes,No,No,No,Yes,No,No,1725,
Hotel Rukmini Riviera,3,7.3,No,No,No,No,Yes,No,Yes,Yes,No,2861,
Cosy Banjara Guest House,4,7.7,Yes,Yes,No,No,Yes,No,Yes,No,No,1664,
Sandhya,NaN,7.6,No,Yes,No,No,Yes,No,Yes,Yes,No,2455,
Pride Inn Hitech City,3,8.5,Yes,Yes,No,No,No,No,Yes,No,No,2588,
32 Urban By Akoya Hotels,NaN,8.4,Yes,Yes,No,No,Yes,No,Yes,Yes,No,4572,
Hotel Sai Prakash,3,7,Yes,No,No,No,Yes,No,No,Yes,No,1501,
Zibe Hyderabad By Grt Hotels,NaN,7.7,Yes,Yes,No,No,Yes,No,Yes,Yes,No,5187,
Minerva,NaN,8,No,No,No,No,No,No,No,No,No,4320,
Treebo Trend Sindhura Grand,1,7.8,Yes,No,No,No,Yes,Yes,Yes,Yes,No,2512,
Itsy By Treebo - Arastu Inn,3,8.8,Yes,Yes,No,No,Yes,No,Yes,No,No,2907,
Grandeur,2,4.8,Yes,Yes,No,No,Yes,No,Yes,Yes,No,1965,
Jp Plaza,3,8.5,Yes,Yes,No,No,Yes,No,Yes,No,No,2280,
OYO Flagship 463 Banjara Hills,3,8.5,Yes,Yes,No,No,Yes,No,Yes,No,No,1788,
Hotel Quality Inn Residency,NaN,7.5,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,5097,
Sri Sai Krishna Deluxe Lodge,NaN,6.2,Yes,No,No,No,Yes,No,Yes,No,No,1096,
Gopi,2,7.7,Yes,No,No,No,Yes,Yes,Yes,Yes,No,5222,
Hotel Virat Grand,NaN,7.7,Yes,Yes,No,No,Yes,No,Yes,No,No,2218,
Rajmata,2,7.2,Yes,Yes,No,Yes,Yes,No,No,Yes,No,4120,
Hotel I K London Residency,3,7.2,Yes,Yes,No,No,Yes,No,Yes,Yes,No,1972,
OYO 2840 Kanha Grand,3,8.2,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,1421,
Anjani Mansion,3,8.8,Yes,Yes,No,No,Yes,No,Yes,No,No,1540,
Hotel Tanisha,3,6.4,Yes,No,No,Yes,Yes,No,Yes,Yes,No,1611,
FabHotel Belsons Taj Mahal Secunderabad Railway Station,3,8.4,Yes,Yes,Yes,No,Yes,No,Yes,No,No,1787,
Hotel Inner Circle,3,7.9,Yes,Yes,No,No,Yes,No,No,Yes,Yes,5322,
OYO 1114 Hotel Sitara Paradise,2,7.8,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,2074,
OYO 24204 Nav Bharath Residency,NaN,9.1,Yes,Yes,No,No,Yes,No,Yes,No,No,1019,
Pride Banjara Banjara Hills,3,7.8,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,3337,
Shanbhag Deluxe & Lodge,NaN,7.9,No,No,Yes,No,Yes,No,No,Yes,No,2149,
Sandhya,2,7.8,Yes,Yes,No,No,Yes,No,No,Yes,No,2357,
Olympia Inn,3,7.9,Yes,Yes,No,No,Yes,No,Yes,Yes,No,2953,
Hotel Baseraa,3,7.6,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,1282,
Dwaraka In Habsiguda,2,7,Yes,Yes,No,No,Yes,No,No,No,No,1184,
Hotel Bramha,3,7.2,No,Yes,No,No,Yes,No,No,No,No,2086,
OYO 11316 Athithi INN,3,7.4,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,1570,
Hyderabad Grand,NaN,6.7,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,4800,
Ohris Banjara,4,7.9,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,3295,
Silverkey Executive Stays 22453 Himayat Nagar Circle,2,8.4,Yes,Yes,No,No,Yes,No,No,Yes,No,1422,
FabHotel Arastu Nampally,3,9.5,Yes,Yes,No,No,No,No,Yes,No,No,1690,
Hotel Rahul International,2,6.8,Yes,No,No,No,Yes,Yes,Yes,Yes,No,1442,
Saptagiri Deluxe,NaN,7.3,Yes,No,No,No,Yes,Yes,Yes,Yes,No,1616,
Heritage Inn,2,7.5,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,2843,
OYO 10272 Hotel Ruma,3,8.2,Yes,Yes,No,No,No,No,Yes,No,No,1470,
Oyo Flagship 81484 Hotel Sky City,NaN,5.8,No,No,No,No,Yes,No,Yes,No,No,1811,
Urvasi Hotel,3,7.9,Yes,No,No,No,Yes,No,Yes,Yes,Yes,2434,
Minerva Grand Secunderabad,4,7,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,4577,
Collection O Hotel Happy Stay Near Hyderabad Central,3,8.7,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,1860,
OYO 14669 Mayur's Residency,3,5.9,Yes,Yes,No,No,Yes,No,No,No,No,1395,
OYO 30151 Golden Hive,NaN,7.8,Yes,Yes,No,No,No,No,Yes,No,No,1349,
"Tourist Friendly Home -3bhk Ac Near Birla Mandir, Hyderabad",NaN,NaN,Yes,Yes,No,No,Yes,No,Yes,No,No,5375,
Capital O 9003 Deccan Inn,3,8.8,Yes,Yes,No,No,Yes,No,Yes,No,No,1589,
Saptagiri,3,7.7,Yes,Yes,No,No,Yes,No,Yes,No,No,3484,
Hotel SYN Residency,3,9.6,Yes,Yes,No,No,Yes,No,No,Yes,No,1525,
Sitara Residency,NaN,8.1,Yes,No,No,No,Yes,No,Yes,Yes,No,2973,
Rnb Select Banjara Hills ex. Casa Luxurio,3,6.3,Yes,Yes,No,No,Yes,No,Yes,Yes,No,4286,
SilverKey Executive Stays 39634 Shamshabad,NaN,8.6,Yes,Yes,No,No,Yes,No,Yes,No,No,1130,
Hotel Tara,3,8,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,7962,
Oyo Flagship 81582 Hotel Shazeb International,NaN,2.4,No,No,No,No,No,No,No,No,No,806,
Time Square The Landmark,3,7.9,Yes,Yes,No,No,Yes,No,Yes,Yes,No,4659,
Hotel Siri Tals Hytek,NaN,7.8,Yes,Yes,No,No,Yes,No,Yes,No,No,1613,
OYO 1410 Country Club Begumpet,3,8.3,Yes,Yes,Yes,No,Yes,No,Yes,No,No,2030,
Hotel Plaza Rooms,NaN,NaN,No,No,No,No,Yes,No,Yes,No,No,1176,
Hotel Ebony Boutique,3,7.9,Yes,No,No,No,Yes,No,Yes,Yes,No,3488,
Fabhotel Maruthi Residency,NaN,NaN,No,Yes,No,No,No,No,Yes,No,No,2638,
Falcons Nest Studio Service Apartment,NaN,5.7,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,2912,
OYO 14501 Hotel Hill View Guest House Begumpet,NaN,9.2,No,Yes,No,No,No,No,No,No,No,3197,
Amogh - Yatri Nivas,3,7.4,Yes,No,No,No,Yes,No,No,Yes,No,3534,
Maurya Hotel,NaN,NaN,No,No,No,No,No,No,Yes,No,No,1055,
OYO 8587 Dwell Suites,3,7.5,Yes,Yes,No,No,Yes,No,Yes,No,No,2125,
Sri Krishna,NaN,NaN,No,No,No,No,No,No,No,No,No,1411,
Lemon Tree Banjara Hills,NaN,NaN,No,Yes,No,No,Yes,No,Yes,Yes,No,5456,
Treebo Trend Srico,3,9.2,Yes,Yes,No,No,Yes,No,Yes,No,No,2130,
Swagath Grand,2,7.9,Yes,Yes,No,No,Yes,No,Yes,No,No,3356,
Collection O 44177 Patrika Nagar,NaN,8.7,Yes,Yes,No,No,Yes,No,No,No,No,1824,
Treebo Trend The Rise,NaN,7.5,No,No,No,No,Yes,No,Yes,No,No,2580,
Falcons Nest Madhu Kunj,3,7.1,Yes,No,No,No,Yes,No,Yes,No,No,1886,
